raw,doi_sample,container_title,issn,publisher,venue_key,norm_raw,norm_key
2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC),10.1109/SCCC59417.2023.10315744,2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC),,IEEE,2023 42nd ieee international conference of the chilean computer science society,2023 42nd ieee international conference of the chilean computer science society,2023 42nd ieee international conference of the chilean computer science society
"2023 IEEE International Conference on Metrology for eXtended Reality, Artificial Intelligence and Neural Engineering (MetroXRAINE)",10.1109/MetroXRAINE58569.2023.10405724,"2023 IEEE International Conference on Metrology for eXtended Reality, Artificial Intelligence and Neural Engineering (MetroXRAINE)",,IEEE,2023 ieee international conference on metrology for extended reality artificial intelligence and neural engineering,2023 ieee international conference on metrology for extended reality artificial intelligence and neural engineering,2023 ieee international conference on metrology for extended reality artificial intelligence and neural engineering
2024 7th Asia Conference on Cognitive Engineering and Intelligent lnteraction (CEII),10.1109/CEII65291.2024.00052,2024 7th Asia Conference on Cognitive Engineering and Intelligent lnteraction (CEII),,IEEE,2024 7th asia conference on cognitive engineering and intelligent lnteraction  ceii,2024 7th asia conference on cognitive engineering and intelligent lnteraction,2024 7th asia conference on cognitive engineering and intelligent lnteraction ceii
Generative AI and LLMs: Natural Language Processing and Generative Adversarial Networks,,,,,generative ai and llms  natural language processing and generative adversarial networks,generative ai and llms natural language processing and generative adversarial networks,generative ai and llms natural language processing and generative adversarial networks
IEEE Access,10.1109/ACCESS.2023.3329573,IEEE Access,2169-3536,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2169-3536,ieee access,issn 2169 3536
2020 IEEE 9th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),10.1109/ITAIC49862.2020.9339015,2020 IEEE 9th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),,IEEE,2020 ieee 9th joint international information technology and artificial intelligence conference,2020 ieee 9th joint international information technology and artificial intelligence conference,2020 ieee 9th joint international information technology and artificial intelligence conference
"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP39728.2021.9414429,"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,IEEE,icassp 2021 2021 ieee international conference on acoustics speech and signal processing,icassp 2021 2021 ieee international conference on acoustics speech and signal processing,icassp 2021 2021 ieee international conference on acoustics speech and signal processing
2021 15th International Conference on Ubiquitous Information Management and Communication (IMCOM),10.1109/IMCOM51814.2021.9377424,2021 15th International Conference on Ubiquitous Information Management and Communication (IMCOM),,IEEE,2021 15th international conference on ubiquitous information management and communication  imcom,2021 15th international conference on ubiquitous information management and communication,2021 15th international conference on ubiquitous information management and communication imcom
2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),10.1109/ICMNWC60182.2023.10435654,2023 3rd International Conference on Mobile Networks and Wireless Communications (ICMNWC),,IEEE,2023 3rd international conference on mobile networks and wireless communications  icmnwc,2023 3rd international conference on mobile networks and wireless communications,2023 3rd international conference on mobile networks and wireless communications icmnwc
2025 IEEE 14th Data Driven Control and Learning Systems (DDCLS),10.1109/DDCLS66240.2025.11065002,2025 IEEE 14th Data Driven Control and Learning Systems (DDCLS),,IEEE,2025 ieee 14th data driven control and learning systems,2025 ieee 14th data driven control and learning systems,2025 ieee 14th data driven control and learning systems
"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP49357.2023.10097009,"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,IEEE,icassp 2023 2023 ieee international conference on acoustics speech and signal processing,icassp 2023 2023 ieee international conference on acoustics speech and signal processing,icassp 2023 2023 ieee international conference on acoustics speech and signal processing
2024 IEEE International Conference on Vehicular Electronics and Safety (ICVES),10.1109/ICVES61986.2024.10928135,2024 IEEE International Conference on Vehicular Electronics and Safety (ICVES),,IEEE,2024 ieee international conference on vehicular electronics and safety,2024 ieee international conference on vehicular electronics and safety,2024 ieee international conference on vehicular electronics and safety
Computing in Science \& Engineering,10.1109/MCSE.2025.3567208,Computing in Science &amp; Engineering,1521-9615,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1521-9615,computing in science engineering,issn 1521 9615
2025 International Conference on Innovation in Artificial Intelligence and Internet of Things (AIIT),10.1109/AIIT63112.2025.11082753,2025 International Conference on Innovation in Artificial Intelligence and Internet of Things (AIIT),,IEEE,2025 international conference on innovation in artificial intelligence and internet of things  aiit,2025 international conference on innovation in artificial intelligence and internet of things,2025 international conference on innovation in artificial intelligence and internet of things aiit
IEEE Aerospace and Electronic Systems Magazine,10.1109/MAES.2020.3043072,IEEE Aerospace and Electronic Systems Magazine,0885-8985,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0885-8985,ieee aerospace and electronic systems magazine,issn 0885 8985
2024 2nd International Conference on Disruptive Technologies (ICDT),10.1109/ICDT61202.2024.10489036,2024 2nd International Conference on Disruptive Technologies (ICDT),,IEEE,2024 2nd international conference on disruptive technologies  icdt,2024 2nd international conference on disruptive technologies,2024 2nd international conference on disruptive technologies icdt
IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2020.3046924,IEEE Transactions on Neural Networks and Learning Systems,2162-237X,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2162-237X,ieee trans neural networks and learning systems,issn 2162 237x
IEEE Transactions on Consumer Electronics,10.1109/TCE.2024.3354824,IEEE Transactions on Consumer Electronics,0098-3063,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0098-3063,ieee trans consumer electronics,issn 0098 3063
"2020 International Conference on Sensing, Measurement \& Data Analytics in the era of Artificial Intelligence (ICSMD)",10.1109/ICSMD50554.2020.9261734,"2020 International Conference on Sensing, Measurement &amp; Data Analytics in the era of Artificial Intelligence (ICSMD)",,IEEE,2020 international conference on sensing  measurement  amp  data analytics in the era of artificial intelligence  icsmd,2020 international conference on sensing measurement data analytics in the era of artificial intelligence,2020 international conference on sensing measurement amp data analytics in the era of artificial intelligence icsmd
"2022 International Conference on Artificial Intelligence, Information Processing and Cloud Computing (AIIPCC)",10.1109/AIIPCC57291.2022.00016,"2022 International Conference on Artificial Intelligence, Information Processing and Cloud Computing (AIIPCC)",,IEEE,2022 international conference on artificial intelligence  information processing and cloud computing  aiipcc,2022 international conference on artificial intelligence information processing and cloud computing,2022 international conference on artificial intelligence information processing and cloud computing aiipcc
2020 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),10.1109/ICAIIC48513.2020.9065225,2020 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),,IEEE,2020 international conference on artificial intelligence in information and communication  icaiic,2020 international conference on artificial intelligence in information and communication,2020 international conference on artificial intelligence in information and communication icaiic
2023 6th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD57115.2023.10206191,2023 6th International Conference on Artificial Intelligence and Big Data (ICAIBD),,IEEE,2023 6th international conference on artificial intelligence and big data  icaibd,2023 6th international conference on artificial intelligence and big data,2023 6th international conference on artificial intelligence and big data icaibd
2024 2nd International Conference on Cyber Resilience (ICCR),10.1109/ICCR61006.2024.10533091,2024 2nd International Conference on Cyber Resilience (ICCR),,IEEE,2024 2nd international conference on cyber resilience  iccr,2024 2nd international conference on cyber resilience,2024 2nd international conference on cyber resilience iccr
"2024 International Conference on Communication, Computing and Internet of Things (IC3IoT)",10.1109/IC3IoT60841.2024.10550305,"2024 International Conference on Communication, Computing and Internet of Things (IC3IoT)",,IEEE,2024 international conference on communication  computing and internet of things  ic3iot,2024 international conference on communication computing and internet of things,2024 international conference on communication computing and internet of things ic3iot
2024 IEEE 2nd International Conference on Image Processing and Computer Applications (ICIPCA),10.1109/ICIPCA61593.2024.10709187,2024 IEEE 2nd International Conference on Image Processing and Computer Applications (ICIPCA),,IEEE,2024 ieee 2nd international conference on image processing and computer applications,2024 ieee 2nd international conference on image processing and computer applications,2024 ieee 2nd international conference on image processing and computer applications
"2023 4th International Conference on Artificial Intelligence, Robotics and Control (AIRC)",10.1109/AIRC57904.2023.10303076,"2023 4th International Conference on Artificial Intelligence, Robotics and Control (AIRC)",,IEEE,2023 4th international conference on artificial intelligence  robotics and control  airc,2023 4th international conference on artificial intelligence robotics and control,2023 4th international conference on artificial intelligence robotics and control airc
"2024 7th International Conference on Internet Applications, Protocols, and Services (NETAPPS)",10.1109/NETAPPS63333.2024.10823621,"2024 7th International Conference on Internet Applications, Protocols, and Services (NETAPPS)",,IEEE,2024 7th international conference on internet applications  protocols  and services  netapps,2024 7th international conference on internet applications protocols and services,2024 7th international conference on internet applications protocols and services netapps
IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3546340,IEEE Transactions on Intelligent Transportation Systems,1524-9050,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1524-9050,ieee trans intelligent transportation systems,issn 1524 9050
2023 IEEE 11th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),10.1109/ITAIC58329.2023.10408888,2023 IEEE 11th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),,IEEE,2023 ieee 11th joint international information technology and artificial intelligence conference,2023 ieee 11th joint international information technology and artificial intelligence conference,2023 ieee 11th joint international information technology and artificial intelligence conference
2025 5th International Conference on Artificial Intelligence and Education (ICAIE),10.1109/ICAIE64856.2025.11158710,2025 5th International Conference on Artificial Intelligence and Education (ICAIE),,IEEE,2025 5th international conference on artificial intelligence and education  icaie,2025 5th international conference on artificial intelligence and education,2025 5th international conference on artificial intelligence and education icaie
"2024 International Conference on Communication, Computer Sciences and Engineering (IC3SE)",10.1109/IC3SE62002.2024.10593404,"2024 International Conference on Communication, Computer Sciences and Engineering (IC3SE)",,IEEE,2024 international conference on communication  computer sciences and engineering  ic3se,2024 international conference on communication computer sciences and engineering,2024 international conference on communication computer sciences and engineering ic3se
"2023 7th International Conference On Computing, Communication, Control And Automation (ICCUBEA)",10.1109/ICCUBEA58933.2023.10392083,"2023 7th International Conference On Computing, Communication, Control And Automation (ICCUBEA)",,IEEE,2023 7th international conference on computing  communication  control and automation  iccubea,2023 7th international conference on computing communication control and automation,2023 7th international conference on computing communication control and automation iccubea
IEEE Open Journal of Engineering in Medicine and Biology,10.1109/OJEMB.2024.3508472,IEEE Open Journal of Engineering in Medicine and Biology,2644-1276,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2644-1276,ieee open  engineering in medicine and biology,issn 2644 1276
2023 IEEE International Conference on Industrial Technology (ICIT),10.1109/ICIT58465.2023.10143123,2023 IEEE International Conference on Industrial Technology (ICIT),,IEEE,2023 ieee international conference on industrial technology,2023 ieee international conference on industrial technology,2023 ieee international conference on industrial technology
2025 IEEE 12th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),10.1109/ITAIC64559.2025.11163176,2025 IEEE 12th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),,IEEE,2025 ieee 12th joint international information technology and artificial intelligence conference,2025 ieee 12th joint international information technology and artificial intelligence conference,2025 ieee 12th joint international information technology and artificial intelligence conference
2024 OES China Ocean Acoustics (COA),10.1109/COA58979.2024.10723573,2024 OES China Ocean Acoustics (COA),,IEEE,2024 oes china ocean acoustics  coa,2024 oes china ocean acoustics,2024 oes china ocean acoustics coa
2018 International Conference on Computational Science and Computational Intelligence (CSCI),10.1109/CSCI46756.2018.00290,2018 International Conference on Computational Science and Computational Intelligence (CSCI),,IEEE,2018 international conference on computational science and computational intelligence  csci,2018 international conference on computational science and computational intelligence,2018 international conference on computational science and computational intelligence csci
2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),10.1109/ICAAIC53929.2022.9792975,2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),,IEEE,2022 international conference on applied artificial intelligence and computing  icaaic,2022 international conference on applied artificial intelligence and computing,2022 international conference on applied artificial intelligence and computing icaaic
2022 3rd International Conference on Electronic Communication and Artificial Intelligence (IWECAI),10.1109/IWECAI55315.2022.00037,2022 3rd International Conference on Electronic Communication and Artificial Intelligence (IWECAI),,IEEE,2022 3rd international conference on electronic communication and artificial intelligence  iwecai,2022 3rd international conference on electronic communication and artificial intelligence,2022 3rd international conference on electronic communication and artificial intelligence iwecai
2022 6th Asian Conference on Artificial Intelligence Technology (ACAIT),10.1109/ACAIT56212.2022.10137971,2022 6th Asian Conference on Artificial Intelligence Technology (ACAIT),,IEEE,2022 6th asian conference on artificial intelligence technology  acait,2022 6th asian conference on artificial intelligence technology,2022 6th asian conference on artificial intelligence technology acait
IEEE Engineering Management Review,10.1109/EMR.2023.3272799,IEEE Engineering Management Review,0360-8581,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0360-8581,ieee engineering management review,issn 0360 8581
