Campo,Algoritmo,Tamaño,Tiempo (s)
author,timsort,50,1.2e-05
author,combsort,50,5.1e-05
author,selectionsort,50,7.1e-05
author,treesort,50,7.3e-05
author,pigeonholesort,50,0.82355
author,bucketsort,50,7.8e-05
author,quicksort,50,4.6e-05
author,heapsort,50,2.7e-05
author,gnomesort,50,0.000136
author,binaryInsertionsort,50,3.3e-05
author,radixsort,50,0.003562
title,timsort,50,1.1e-05
title,combsort,50,4.7e-05
title,selectionsort,50,6.7e-05
title,treesort,50,7.5e-05
title,pigeonholesort,50,0.608999
title,bucketsort,50,6.5e-05
title,quicksort,50,3.8e-05
title,heapsort,50,1.9e-05
title,gnomesort,50,0.000128
title,binaryInsertionsort,50,2.8e-05
title,radixsort,50,0.001965
journal,timsort,50,7e-06
journal,combsort,50,4.6e-05
journal,selectionsort,50,6.9e-05
journal,treesort,50,5.8e-05
journal,pigeonholesort,50,0.734154
journal,bucketsort,50,5.8e-05
journal,quicksort,50,4.3e-05
journal,heapsort,50,2e-05
journal,gnomesort,50,0.000151
journal,binaryInsertionsort,50,3e-05
journal,radixsort,50,0.000582
year,timsort,50,4e-06
year,combsort,50,4e-05
year,selectionsort,50,6.8e-05
year,treesort,50,1.6e-05
year,pigeonholesort,50,0.358632
year,bucketsort,50,4.4e-05
year,quicksort,50,9.8e-05
year,heapsort,50,1.6e-05
year,gnomesort,50,2.7e-05
year,binaryInsertionsort,50,2.6e-05
year,radixsort,50,3.8e-05
doi,timsort,50,8e-06
doi,combsort,50,4.6e-05
doi,selectionsort,50,6.6e-05
doi,treesort,50,6.5e-05
doi,pigeonholesort,50,0.627306
doi,bucketsort,50,4.6e-05
doi,quicksort,50,3.6e-05
doi,heapsort,50,1.5e-05
doi,gnomesort,50,0.000127
doi,binaryInsertionsort,50,2.7e-05
doi,radixsort,50,0.000338
keywords,timsort,50,9e-06
keywords,combsort,50,4.4e-05
keywords,selectionsort,50,6.3e-05
keywords,treesort,50,8.9e-05
keywords,pigeonholesort,50,0.765842
keywords,bucketsort,50,7e-05
keywords,quicksort,50,3.9e-05
keywords,heapsort,50,2e-05
keywords,gnomesort,50,0.000126
keywords,binaryInsertionsort,50,2.8e-05
keywords,radixsort,50,0.001577
abstract,timsort,50,1.2e-05
abstract,combsort,50,5.1e-05
abstract,selectionsort,50,7e-05
abstract,treesort,50,0.000248
abstract,pigeonholesort,50,0.62882
abstract,bucketsort,50,6.6e-05
abstract,quicksort,50,4.2e-05
abstract,heapsort,50,2.1e-05
abstract,gnomesort,50,0.000162
abstract,binaryInsertionsort,50,3.2e-05
abstract,radixsort,50,0.026674
