term,degree,weighted_degree,doc_frequency,component_id,component_size
generative,29,31091,5398,1,30
learning,29,27113,4603,1,30
data,29,26713,4472,1,30
model,29,26055,4306,1,30
paper,29,21283,3786,1,30
using,29,19107,3186,1,30
intelligence,29,17203,3513,1,30
image,29,16860,2620,1,30
privacy,29,3520,576,1,30
models,28,21433,3609,1,30
methods,28,19484,3173,1,30
method,28,17742,2792,1,30
transparency,28,954,170,1,30
adversarial,27,20667,3011,1,30
proposed,27,19953,3140,1,30
images,27,15992,2447,1,30
machine learning,27,7729,1242,1,30
ethics,27,502,93,1,30
network,26,20806,3214,1,30
training data,26,3021,397,1,30
generative models,26,2795,394,1,30
explainability,25,626,98,1,30
personalization,25,375,80,1,30
fine tuning,24,1114,170,1,30
prompting,24,456,84,1,30
algorithmic bias,20,191,28,1,30
ai literacy,20,152,36,1,30
multimodality,20,55,11,1,30
co creation,18,69,15,1,30
human ai interaction,12,31,8,1,30
