termino_a,termino_b,peso
generative,model,2584
model,models,2007
methods,model,1568
model,paper,1729
intelligence,model,1299
generative,models,2308
generative,methods,1714
generative,paper,2153
generative,intelligence,2219
methods,models,1119
models,paper,1395
intelligence,models,1390
methods,paper,1310
intelligence,methods,874
intelligence,paper,1313
data,methods,1582
data,intelligence,1659
generative,learning,2523
learning,models,1908
learning,proposed,1622
learning,methods,1754
learning,method,1375
adversarial,learning,1655
generative,proposed,1849
generative,method,1569
adversarial,generative,2572
models,proposed,1090
method,models,924
adversarial,models,1126
methods,proposed,1350
method,proposed,1501
adversarial,proposed,1411
method,methods,1338
adversarial,methods,1232
adversarial,method,1210
data,generative models,207
generative models,learning,181
generative models,model,222
generative,generative models,394
generative models,models,394
generative models,image,145
adversarial,generative models,114
generative models,using,133
generative models,intelligence,118
data,learning,2482
data,model,2294
data,generative,2656
data,models,1922
data,image,1109
adversarial,data,1668
data,using,1656
learning,model,2245
image,learning,1244
learning,using,1642
intelligence,learning,1708
image,model,1340
adversarial,model,1588
model,using,1593
generative,image,1502
generative,using,1919
image,models,1015
models,using,1320
adversarial,image,1152
image,using,958
image,intelligence,597
adversarial,using,1130
adversarial,intelligence,734
intelligence,using,1113
method,privacy,109
intelligence,privacy,293
intelligence,method,566
images,model,1272
model,network,1733
model,proposed,1762
method,model,1502
generative,images,1416
generative,network,2020
image,images,1646
image,network,1225
image,proposed,1123
image,methods,1108
image,method,1036
images,network,1119
images,proposed,1054
images,methods,1033
images,method,996
adversarial,images,1125
network,proposed,1582
methods,network,1331
method,network,1355
adversarial,network,1785
images,models,923
images,learning,1159
learning,paper,1811
image,paper,1107
images,paper,981
images,using,969
methods,using,1104
adversarial,paper,1306
paper,using,1195
data,network,1641
models,network,1083
network,using,1175
data,proposed,1549
data,method,1405
learning,network,1677
proposed,using,1080
method,using,1039
generative,transparency,85
models,transparency,83
methods,transparency,51
paper,transparency,60
intelligence,transparency,94
intelligence,network,829
data,paper,1734
data,training data,397
learning,training data,224
models,training data,196
network,training data,164
methods,training data,156
training data,using,163
intelligence,training data,105
learning,machine learning,1242
generative,machine learning,587
machine learning,models,616
image,machine learning,204
images,machine learning,177
adversarial,machine learning,387
machine learning,paper,464
machine learning,using,455
intelligence,machine learning,643
images,intelligence,543
network,paper,1370
paper,proposed,1364
intelligence,proposed,780
machine learning,privacy,106
algorithmic bias,machine learning,2
data,machine learning,800
algorithmic bias,privacy,21
data,privacy,448
learning,privacy,308
models,privacy,272
algorithmic bias,data,23
algorithmic bias,learning,12
algorithmic bias,models,15
algorithmic bias,intelligence,18
machine learning,transparency,31
machine learning,model,539
machine learning,network,375
data,transparency,90
learning,transparency,79
model,transparency,68
images,transparency,30
network,transparency,27
data,images,1080
machine learning,proposed,287
machine learning,methods,410
generative models,network,100
generative models,methods,129
generative models,method,113
generative models,paper,161
method,paper,1204
fine tuning,learning,75
fine tuning,model,112
fine tuning,generative,116
fine tuning,paper,55
fine tuning,intelligence,71
generative,privacy,343
privacy,proposed,137
paper,privacy,247
explainability,generative,51
adversarial,explainability,27
explainability,intelligence,42
paper,training data,173
co creation,model,3
co creation,proposed,4
fine tuning,privacy,19
model,privacy,213
privacy,using,183
data,fine tuning,103
fine tuning,using,73
ethics,generative,65
ethics,models,38
ethics,image,9
ethics,intelligence,63
generative,personalization,49
personalization,using,15
intelligence,personalization,53
model,training data,241
generative,training data,266
method,training data,159
adversarial,training data,191
network,privacy,133
machine learning,method,230
methods,privacy,144
ai literacy,data,13
ai literacy,intelligence,24
explainability,transparency,25
explainability,learning,49
explainability,model,49
explainability,paper,34
generative models,images,123
model,personalization,23
network,personalization,5
images,training data,147
fine tuning,network,42
fine tuning,proposed,55
adversarial,fine tuning,31
image,transparency,21
transparency,using,59
generative models,machine learning,44
data,explainability,55
explainability,models,67
explainability,image,16
explainability,images,14
explainability,network,19
explainability,using,37
privacy,training data,33
images,privacy,94
proposed,training data,167
generative models,proposed,115
training data,transparency,6
adversarial,transparency,24
fine tuning,generative models,15
fine tuning,models,111
learning,personalization,36
explainability,machine learning,26
adversarial,privacy,157
