termino,grado,grado_ponderado,frecuencia_documentos,componente_id,tamano_componente
generative,29,20792,5398,1,30
artificial,29,17633,3551,1,30
intelligence,29,17484,3513,1,30
data,29,17140,4472,1,30
research,29,12564,2664,1,30
using,29,12493,3186,1,30
potential,29,9636,1954,1,30
education,29,3884,604,1,30
privacy,29,3105,576,1,30
models,28,14741,3609,1,30
study,28,11283,2386,1,30
use,28,8642,1873,1,30
tools,28,4660,824,1,30
students,28,3085,487,1,30
transparency,28,959,170,1,30
machine learning,27,5709,1242,1,30
ethics,27,657,93,1,30
genai,26,2172,359,1,30
generative models,26,1934,394,1,30
training data,26,1730,397,1,30
gai,26,1561,246,1,30
explainability,25,552,98,1,30
personalization,25,434,80,1,30
fine tuning,24,828,170,1,30
prompting,24,452,84,1,30
algorithmic bias,22,225,28,1,30
ai literacy,21,277,36,1,30
co creation,19,92,15,1,30
human ai interaction,16,54,8,1,30
multimodality,15,34,11,1,30
